n°;clasificacion;cuartel;fecha;dia;hora;delito;direccion;dir_com;latitud;longitud;este (x);norte (y);cuadrante;dir_com
105;;SCOM. PAILLIHUE;28-02-2022;LUNES;17:40;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;GRANJA ERNA  LOTE A- 1  PATA DE GALLINA  Los Ángeles  Biobio  Chile;;-37.4674;-72.384519;731304.103;5850062.63;12;
106;;SCOM. PAILLIHUE;03-03-2022;JUEVES;11:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;2673-LA PAZ  Los Ángeles  Biobio  Chile;;-37.4851569;-72.3321003;735884.8332;5847961.947;4;
107;;TENENCIA CENTENARIO;28-02-2022;LUNES;4:20;ROBO EN LUGAR NO HABITADO;AVENIDA LAS INDUSTRIAS & SORVICENTA  Los Ángeles  Biobio  Chile;;-37.441101;-72.3271477;736461.6328;5852838.558;6;
108;;SCOM. CB 1RO. R. SEPULVEDA P.;28-02-2022;LUNES;1:14;ROBO EN LUGAR NO HABITADO;2401-AGUAS CALIENTES  Los Ángeles  Biobio  Chile;;-37.467391;-72.3845573;731300.743;5850063.723;5;
109;;1RA. COM. LOS ANGELES;01-03-2022;MARTES;0:25;ROBO EN LUGAR NO HABITADO;674-ALMAGRO  Los Ángeles  Biobio  Chile;;-37.4654128;-72.3499126;734371.3508;5850197.532;1;
110;;1RA. COM. LOS ANGELES;02-03-2022;MIERCOLES;1:40;ROBO EN LUGAR NO HABITADO;581-GENARO REYES  Los Ángeles  Biobio  Chile;;-37.46741;-72.3367762;735527.0698;5849943.099;3;
111;;1RA. COM. LOS ANGELES;02-03-2022;MIERCOLES;4:10;ROBO EN LUGAR NO HABITADO;148-ALMAGRO  Los Ángeles  Biobio  Chile;;-37.4720148;-72.3497499;734365.1121;5849464.482;1;
112;;1RA. COM. LOS ANGELES;03-03-2022;JUEVES;3:35;ROBO EN LUGAR NO HABITADO;123-ALMAGRO  Los Ángeles  Biobio  Chile;;-37.4722735;-72.3494693;734389.122;5849435.075;1;
113;;1RA. COM. LOS ANGELES;03-03-2022;JUEVES;4:00;ROBO EN LUGAR NO HABITADO;CAUPOLICAN & 502  Los Ángeles  Biobio  Chile;;-37.471123;-72.355563;733853.7371;5849577.911;1;
114;;1RA. COM. LOS ANGELES;04-03-2022;VIERNES;23:10;ROBO EN LUGAR NO HABITADO;240-RENGO  Los Ángeles  Biobio  Chile;;-37.4676347;-72.3499126;734364.4084;5849950.961;1;
115;;TENENCIA CENTENARIO;03-03-2022;JUEVES;3:50;ROBO EN LUGAR NO HABITADO;2379-SOR VICENTA  Los Ángeles  Biobio  Chile;;-37.4440219;-72.3313327;736082.1387;5852524.918;6;
116;;TENENCIA CENTENARIO;05-03-2022;SABADO;20:00;ROBO EN LUGAR NO HABITADO;507-AVENIDA LAS INDUSTRIAS K/M  Los Ángeles  Biobio  Chile;;-37.4698174;-72.3270089;736383.4353;5849651.45;6;
117;;SCOM. PAILLIHUE;28-02-2022;LUNES;5:00;ROBO EN LUGAR NO HABITADO;PARCELA NRO.2 & SECTOR CANTARRANA  Los Ángeles  Biobio  Chile;;-37.5083923;-72.3627896;733098.61;5845459.954;4;
118;;SCOM. PAILLIHUE;06-03-2022;DOMINGO;2:00;ROBO VIOLENTO DE VEHÍCULO MOTORIZADO;2096-ABATE MOLINA  Los Ángeles  Biobio  Chile;;-37.4900408;-72.3266615;736350.3995;5847406.308;4;
119;DENUNCIA;SCOM. PAILLIHUE;08-03-2022;MARTES;21:37;ROBO DE ACCESORIOS DE VEHICULOS;2-RUTA Q 61-R KM 2.5  Los Angeles  Biobio  Chile;;-37.5197747;-72.2564667;742461.288;5843927.846;9;
120;DENUNCIA;1RA. COM. LOS ANGELES;10-03-2022;JUEVES;5:00;ROBO DE ACCESORIOS DE VEHICULOS;195-TUCAPEL  Los Angeles  Biobio  Chile;;-37.4660477;-72.3497461;734384.095;5850126.661;1;
121;DENUNCIA;1RA. COM. LOS ANGELES;10-03-2022;JUEVES;19:00;ROBO DE ACCESORIOS DE VEHICULOS;130-BAQUEDANO  Los Angeles  Biobio  Chile;;-37.4759069;-72.3488027;734436.722;5849030.204;1;
122;DENUNCIA;1RA. COM. LOS ANGELES;11-03-2022;VIERNES;22:00;ROBO DE ACCESORIOS DE VEHICULOS;FREIRE & AVENIDA VICUNA MACKENNA  Los Angeles  Biobio  Chile;;-37.480585;-72.354982;733875.612;5848526.439;1;
123;DENUNCIA;1RA. COM. LOS ANGELES;12-03-2022;SABADO;17:00;ROBO DE ACCESORIOS DE VEHICULOS;440-VALDIVIA  Los Angeles  Biobio  Chile;;-37.46854;-72.3527299;734112.384;5849857.51;1;
124;DENUNCIA;1RA. COM. LOS ANGELES;12-03-2022;SABADO;20:00;ROBO DE ACCESORIOS DE VEHICULOS;850-AVENIDA ALEMANIA  Los Angeles  Biobio  Chile;;-37.4672539;-72.3357379;735619.401;5849957.823;3;
125;DENUNCIA;1RA. COM. LOS ANGELES;12-03-2022;SABADO;18:30;ROBO DE ACCESORIOS DE VEHICULOS;850-AVENIDA ALEMANIA  Los Angeles  Biobio  Chile;;-37.4672539;-72.3357379;735619.401;5849957.823;3;
126;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;11-03-2022;VIERNES;0:42;ROBO DE ACCESORIOS DE VEHICULOS;494-RUTA 5 SUR  Los Angeles  Biobio  Chile;;-37.343401;-72.368746;733083.409;5863784.135;15;
127;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;08-03-2022;MARTES;5:15;ROBO DE ACCESORIOS DE VEHICULOS;497-RUTA 5 SUR KILOMETRO  Los Angeles  Biobio  Chile;;-37.377368;-72.363957;733402.401;5860002.936;15;
128;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;12-03-2022;VIERNES;11:08;ROBO DE ACCESORIOS DE VEHICULOS;716-ISLA PICTON  Los Angeles  Biobio  Chile;;-37.4660543;-72.3688265;732696.323;5850173.279;13;
129;DENUNCIA;TENENCIA CENTENARIO;07-03-2022;LUNES;5:30;ROBO DE ACCESORIOS DE VEHICULOS;724-MARCONI  Los Angeles  Biobio  Chile;;-37.4627725;-72.340617;735201.878;5850467.344;6;
130;DENUNCIA;TENENCIA CENTENARIO;07-03-2022;LUNES;8:30;ROBO DE ACCESORIOS DE VEHICULOS;2285-AVENIDA SOR VICENTA  Los Angeles  Biobio  Chile;;-37.4509258;-72.3381865;735454.049;5851775.934;6;
131;DENUNCIA;1RA. COM. LOS ANGELES;09-03-2022;MIERCOLES;12:20;ROBO DE ACCESORIOS DE VEHICULOS;RENGO & VOLCAN CALBUCO  Los Angeles  Biobio  Chile;;-37.4672257;-72.3453645;734767.982;5849985.012;1;
132;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;10-03-2022;JUEVES;20:30;ROBO DE ACCESORIOS DE VEHICULOS;480-EX RUTA 5 SUR KM  Los Angeles  Biobio  Chile;;-37.240685;-72.366611;733590.205;5875177.269;14;
133;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;08-03-2022;MARTES;14:35;ROBO DE VEHICULO MOTORIZADO;990-ERCILLA  Los Angeles  Biobio  Chile;;-37.4609165;-72.35526;733912.363;5850709.804;13;
134;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;11-03-2022;JUEVES;7:40;ROBO DE VEHICULO MOTORIZADO;491-RUTA 5 SUR  Los Angeles  Biobio  Chile;;-37.333121;-72.366186;733342.052;5864918.589;15;
135;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;13-03-2022;SABADO;22:40;ROBO DE VEHICULO MOTORIZADO;685-BOMBERO EMILIO ESTOEBER  Los Angeles  Biobio  Chile;;-37.4736905;-72.3523867;734126.661;5849285.089;13;
136;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;08-03-2022;MARTES;21:00;ROBO DE VEHICULO MOTORIZADO;1186-ERCILLA  Los Angeles  Biobio  Chile;;-37.459385;-72.3552546;733917.615;5850879.746;13;
137;DENUNCIA;1RA. COM. LOS ANGELES;10-03-2022;JUEVES;4:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;521-CONDELL  Los Angeles  Biobio  Chile;;-37.4778656;-72.3551441;733869.759;5848828.623;1;
138;DENUNCIA;1RA. COM. LOS ANGELES;12-03-2022;SABADO;17:45;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;RENGO & 102  Los Angeles  Biobio  Chile;;-37.4671473;-72.3476042;734570.118;5849999.298;1;
139;DENUNCIA;1RA. COM. LOS ANGELES;13-03-2022;DOMINGO;17:26;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;580-AVENIDA MARCONI  Los Angeles  Biobio  Chile;;-37.4676067;-72.3389521;735333.987;5849926.715;3;
140;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;07-03-2022;LUNES;6:15;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;748-GALVARINO  Los Angeles  Biobio  Chile;;-37.4640628;-72.3574516;733708.69;5850366.095;13;
141;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;12-03-2022;VIERNES;0:20;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1642-BOMBERO FRANCISCO RIOSECO  Los Angeles  Biobio  Chile;;-37.4634974;-72.3735258;732288.566;5850468.634;5;
142;DENUNCIA;TENENCIA CENTENARIO;11-03-2022;VIERNES;5:30;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1091-LOS ALACALUFES  Los Angeles  Biobio  Chile;;-37.46122;-72.3458799;734741.186;5850652.77;6;
143;DENUNCIA;TENENCIA CENTENARIO;13-03-2022;DOMINGO;11:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;213-ARGENTINA  Los Angeles  Biobio  Chile;;-37.4623321;-72.3420266;735078.566;5850519.739;6;
144;DETENCION;SCOM. PAILLIHUE;08-03-2022;MARTES;17:40;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;25-RUTA Q61R  Los Angeles  Biobio  Chile;;-37.670746;-72.0229041;762575.538;5826544.345;9;
145;DENUNCIA;SCOM. PAILLIHUE;08-03-2022;MARTES;18:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;PARCELA LOS PERALES & LA PERLA  Los Angeles  Biobio  Chile;;-37.4852487;-72.3502339;734280.947;5847997.078;9;
146;DENUNCIA;SCOM. PAILLIHUE;09-03-2022;MIERCOLES;15:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;201-RIO BIO BIO  Los Angeles  Biobio  Chile;;-37.4877486;-72.3479607;734474.151;5847713.991;4;
147;DENUNCIA;SCOM. PAILLIHUE;10-03-2022;JUEVES;10:45;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;3-SECTOR TOLPAN PARCELA  Los Angeles  Biobio  Chile;;-37.488467;-72.3319513;735887.592;5847594.239;9;
148;DENUNCIA;SCOM. PAILLIHUE;12-03-2022;SABADO;16:45;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1295-SAN FRANCISCO  Los Angeles  Biobio  Chile;;-37.4843372;-72.3285724;736199.398;5848044.059;4;
149;DENUNCIA;SCOM. PAILLIHUE;12-03-2022;SABADO;23:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1722-BOGOTA  Los Angeles  Biobio  Chile;;-37.4866443;-72.3309298;735983.661;5847793.948;4;
150;DENUNCIA;RETEN SANTA FE;09-03-2022;MIERCOLES;10:15;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;6-SECTOR TRES VIENTOS  Q-262  Los Angeles  Biobio  Chile;;-37.4472575;-72.397429;730223.973;5852329.535;11;
151;DENUNCIA;1RA. COM. LOS ANGELES;07-03-2022;LUNES;5:00;ROBO EN LUGAR NO HABITADO;511-AVDA LAS INDUSTRIA  Los Angeles  Biobio  Chile;;-37.4698467;-72.3270083;736383.396;5849648.197;3;
152;DENUNCIA;1RA. COM. LOS ANGELES;07-03-2022;LUNES;11:45;ROBO EN LUGAR NO HABITADO;VILLAGRAN & LAUTARO  Los Angeles  Biobio  Chile;;-37.4702825;-72.348248;734503.369;5849652.979;1;
153;DENUNCIA;1RA. COM. LOS ANGELES;08-03-2022;MARTES;6:30;ROBO EN LUGAR NO HABITADO;552-CAUPOLICAN  Los Angeles  Biobio  Chile;;-37.4715467;-72.3532885;734053.592;5849525.237;1;
154;DENUNCIA;1RA. COM. LOS ANGELES;08-03-2022;MARTES;4:47;ROBO EN LUGAR NO HABITADO;389-AVENIDA ERCILLA  Los Angeles  Biobio  Chile;;-37.4692326;-72.3552437;733887.874;5849786.901;1;
155;DENUNCIA;1RA. COM. LOS ANGELES;09-03-2022;MIERCOLES;4:45;ROBO EN LUGAR NO HABITADO;256-MANUEL RODRIGUEZ  Los Angeles  Biobio  Chile;;-37.4747081;-72.3543597;733948.983;5849177.07;1;
156;DENUNCIA;1RA. COM. LOS ANGELES;10-03-2022;JUEVES;4:00;ROBO EN LUGAR NO HABITADO;0332-CORONEL RICARDO CASTRO  Los Angeles  Biobio  Chile;;-37.4664404;-72.3428207;734995.45;5850065.811;3;
157;DENUNCIA;1RA. COM. LOS ANGELES;11-03-2022;VIERNES;19:00;ROBO EN LUGAR NO HABITADO;389-ERCILLA  Los Angeles  Biobio  Chile;;-37.4692326;-72.3552437;733887.874;5849786.901;1;
158;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;07-03-2022;LUNES;5:40;ROBO EN LUGAR NO HABITADO;902-OROMPELLO  Los Angeles  Biobio  Chile;;-37.4608119;-72.3615201;733358.915;5850736.952;13;
159;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;09-03-2022;MIERCOLES;5:30;ROBO EN LUGAR NO HABITADO;RUTA Q-15 & KM 13  Los Angeles  Biobio  Chile;;-37.3349574;-72.2589479;742838.761;5864444.294;14;
160;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;11-03-2022;JUEVES;11:43;ROBO EN LUGAR NO HABITADO;RUTA Q-15  KILOMETRO 9 & LOTE 31  Los Angeles  Biobio  Chile;;-37.3349574;-72.2589479;742838.761;5864444.294;15;
161;DENUNCIA;TENENCIA CENTENARIO;09-03-2022;MIERCOLES;5:00;ROBO EN LUGAR NO HABITADO;281-ALMIRANTE LATORRE  Los Angeles  Biobio  Chile;;-37.4597415;-72.3442612;734889.006;5850812.805;6;
162;DENUNCIA;TENENCIA CENTENARIO;09-03-2022;MIERCOLES;4:30;ROBO EN LUGAR NO HABITADO;410-AVENIDA COSTANERA QUILQUE  Los Angeles  Biobio  Chile;;-37.4644719;-72.3439014;734906.022;5850286.959;6;
163;DENUNCIA;TENENCIA CENTENARIO;13-03-2022;DOMINGO;23:50;ROBO EN LUGAR NO HABITADO;410-AVENIDA COSTANERA QUILQUE  Los Angeles  Biobio  Chile;;-37.4644719;-72.3439014;734906.022;5850286.959;6;
164;DETENCION;SCOM. PAILLIHUE;12-03-2022;SABADO;14:30;ROBO EN LUGAR NO HABITADO;1-FUNDO LO RAQUEL EL PERAL KM  Los Angeles  Biobio  Chile;;-37.4848614;-72.2158274;746168.252;5847696.796;4;
165;DENUNCIA;1RA. COM. LOS ANGELES;14-03-2022;LUNES;14:00;ROBO DE ACCESORIOS DE VEHICULOS;497-BLANCO ENCALADA  Los Angeles  Biobio  Chile;;-37.4776387;-72.358025;733615.6766;5848860.96;1;
166;DENUNCIA;TENENCIA CENTENARIO;14-03-2022;LUNES;8:30;ROBO DE ACCESORIOS DE VEHICULOS;CARLOS IBANEZ DEL CAMPO & COSTANERA QUILQUE NORTE  Los Angeles  Biobio  Chile;;-37.4624681;-72.3388188;735361.8999;5850496.629;6;
167;DENUNCIA;1RA. COM. LOS ANGELES;14-03-2022;LUNES;9:00;ROBO DE VEHICULO MOTORIZADO;996-LA TIRANA  Los Angeles  Biobio  Chile;;-37.4824035;-72.3449117;734760.5116;5848299.551;3;
168;DENUNCIA;1RA. COM. LOS ANGELES;14-03-2022;LUNES;4:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;362-COMPANIA DE MARIA  Los Angeles  Biobio  Chile;;-37.4775599;-72.38031;731645.016;5848924.807;2;
169;DETENCION;1RA. COM. LOS ANGELES;14-03-2022;LUNES;19:18;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;750-BAQUEDANO  Los Angeles  Biobio  Chile;;-37.4753724;-72.3587282;733560.544;5849114.204;1;
170;DENUNCIA;1RA. COM. LOS ANGELES;14-03-2022;LUNES;5:40;ROBO EN LUGAR NO HABITADO;575-ERCILLA  Los Angeles  Biobio  Chile;;-37.4668477;-72.3550458;733912.8159;5850051.069;1;
171;DENUNCIA;1RA. COM. LOS ANGELES;15-03-2022;MARTES;13:00;ROBO DE ACCESORIOS DE VEHICULOS;268-COLO COLO  Los Angeles  Biobio  Chile;;-37.469405;-72.3494778;734397.3353;5849753.422;1;
172;DENUNCIA;1RA. COM. LOS ANGELES;15-03-2022;MARTES;18:25;ROBO DE ACCESORIOS DE VEHICULOS;389-ERCILLA  Los Angeles  Biobio  Chile;;-37.4692326;-72.3552437;733887.874;5849786.901;1;
173;DENUNCIA;TENENCIA CENTENARIO;15-03-2022;MARTES;19:35;ROBO DE ACCESORIOS DE VEHICULOS;1177-MARCONI  Los Angeles  Biobio  Chile;;-37.45876;-72.341596;735127.8517;5850915.071;6;
174;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;15-03-2022;MARTES;3:00;ROBO DE ACCESORIOS DE VEHICULOS;495-RUTA 5 SUR KM  Los Angeles  Biobio  Chile;;-37.3522092;-72.3697179;732970.0585;5862809.081;14;
175;DENUNCIA;TENENCIA CENTENARIO;15-03-2022;MARTES;5:40;ROBO DE VEHICULO MOTORIZADO;RUTA Q-35 & LAS INDUSTRIAS  Los Angeles  Biobio  Chile;;-37.5057084;-72.325392;736413.2144;5845664.418;6;
176;DENUNCIA;SCOM. CB 1RO. S R. SEPULVEDA P;15-03-2022;MARTES;4:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1371-LOS SAUCES VILLA  Los Angeles  Biobio  Chile;;-37.4584895;-72.3685028;732748.4237;5851011.965;13;
177;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;15-03-2022;MARTES;18:10;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;06-RUTA Q-20  Los Angeles  Biobio  Chile;;-37.3464527;-72.4338277;727308.0541;5863604.24;14;
178;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;15-03-2022;MARTES;3:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;HIJUELA LA BONANZA & SECTOR SAN LUIS DICAHUE  Los Angeles  Biobio  Chile;;-37.4417409;-72.3319385;736035.7083;5852779.567;14;
179;DENUNCIA;TENENCIA CENTENARIO;15-03-2022;MARTES;5:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1030-COSTANERA QUILQUE NORTE  Los Angeles  Biobio  Chile;;-37.460752;-72.333139;735869.7269;5850672.851;6;
180;DENUNCIA;1RA. COM. LOS ANGELES;16-03-2022;MIERCOLES;20:00;ROBO DE ACCESORIOS DE VEHICULOS;440-VALDIVIA  Los Angeles  Biobio  Chile;;-37.46854;-72.3527299;734112.3841;5849857.51;1;
181;DENUNCIA;TENENCIA CENTENARIO;16-03-2022;MIERCOLES;14:50;ROBO DE ACCESORIOS DE VEHICULOS;0241-CARLOS IBANEZ DEL CAMPO  Los Angeles  Biobio  Chile;;-37.4648892;-72.3463859;734684.9455;5850246.849;6;
182;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;16-03-2022;MIERCOLES;18:30;ROBO DE ACCESORIOS DE VEHICULOS;480-EX RUTA 5 SUR  Los Angeles  Biobio  Chile;;-37.227049;-72.389992;731557.5814;5876747.92;14;
183;DENUNCIA;TENENCIA CENTENARIO;16-03-2022;MIERCOLES;4:00;ROBO DE VEHICULO MOTORIZADO;1329-MACEDONIA  Los Angeles  Biobio  Chile;;-37.45268;-72.3320373;735992.5708;5851565.867;6;
184;DENUNCIA;1RA. COM. LOS ANGELES;16-03-2022;MIERCOLES;5:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;884-LAUTARO  Los Angeles  Biobio  Chile;;-37.4700444;-72.3582367;733620.6115;5849704.248;2;
185;DENUNCIA;SCOM. PAILLIHUE;16-03-2022;MIERCOLES;1:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;804-OTAWA 2 ORIENTE  Los Angeles  Biobio  Chile;;-37.4803193;-72.3347858;735662.5548;5848505.524;4;
186;DENUNCIA;RETEN SANTA FE;16-03-2022;MIERCOLES;0:03;ROBO EN LUGAR NO HABITADO;14-RUTA Q-34  Los Angeles  Biobio  Chile;;-37.4176325;-72.6061031;711845.207;5856106.706;11;
187;DENUNCIA;SCOM. PAILLIHUE;17-03-2022;JUEVES;4:30;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1127-SANTIAGO BARRERA  Los Angeles  Biobio  Chile;;-37.48438;-72.34482;734762.4312;5848079.983;4;
188;DENUNCIA;RETEN SANTA FE;17-03-2022;JUEVES;18:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;06-RUTA Q-34  Los Angeles  Biobio  Chile;;-37.4176325;-72.6061031;711845.207;5856106.706;11;
189;DENUNCIA;1RA. COM. LOS ANGELES;17-03-2022;JUEVES;4:00;ROBO EN LUGAR NO HABITADO;455-BULNES  Los Angeles  Biobio  Chile;;-37.4740197;-72.3535258;734024.8853;5849251.39;1;
190;DENUNCIA;TENENCIA CENTENARIO;17-03-2022;JUEVES;5:00;ROBO EN LUGAR NO HABITADO;0370-PASAJE COSTANERA  Los Angeles  Biobio  Chile;;-37.464586;-72.344362;734864.9216;5850275.447;6;
191;DENUNCIA;1RA. COM. LOS ANGELES;18-03-2022;JUEVES;22:30;ROBO DE ACCESORIOS DE VEHICULOS;606-CALLE FREIRE  Los Angeles  Biobio  Chile;;-37.4797035;-72.349882;734329.3992;5848611.571;1;
192;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;18-03-2022;VIERNES;12:00;ROBO DE VEHICULO MOTORIZADO;FRANCISCO BOMBERO RIO SECO & LAGUNA LAJA  Los Angeles  Biobio  Chile;;-37.4637742;-72.3746304;732189.9995;5850440.643;5;
193;DENUNCIA;SCOM. PAILLIHUE;18-03-2022;VIERNES;4:05;ROBO EN LUGAR NO HABITADO;1397-PJE STA MARTA  Los Angeles  Biobio  Chile;;-37.4888242;-72.3518434;734127.4468;5847604.3;4;
194;DENUNCIA;1RA. COM. LOS ANGELES;19-03-2022;SABADO;11:00;ROBO DE VEHICULO MOTORIZADO;2075-AMPURIAS  Los Angeles  Biobio  Chile;;-37.4827755;-72.3793547;731713.3835;5848343.665;2;
195;DENUNCIA;SCOM. PAILLIHUE;19-03-2022;SABADO;0:30;ROBO DE VEHICULO MOTORIZADO;20-FRANCISCO ENCINA  Los Angeles  Biobio  Chile;;-37.4872284;-72.3420507;734998.3994;5847756.971;4;
196;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;19-03-2022;SABADO;5:40;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1007-PROFESORA CONTANZA ROBINSON  Los Angeles  Biobio  Chile;;-37.4629159;-72.3612251;733378.4654;5850502.734;5;
197;DENUNCIA;1RA. COM. LOS ANGELES;19-03-2022;SABADO;4:57;ROBO EN LUGAR NO HABITADO;676-RICARDO VICUNA  Los Angeles  Biobio  Chile;;-37.4728904;-72.3554156;733861.263;5849381.411;1;
198;DENUNCIA;TENENCIA CENTENARIO;19-03-2022;SABADO;5:45;ROBO EN LUGAR NO HABITADO;1185-ERCILLA  Los Angeles  Biobio  Chile;;-37.4594068;-72.3548031;733957.4882;5850876.204;6;
199;DETENCION;1RA. COM. LOS ANGELES;20-03-2022;DOMINGO;12:43;ROBO DE ACCESORIOS DE VEHICULOS;261-COLO COLO  Los Angeles  Biobio  Chile;;-37.469197;-72.3489211;734447.2261;5849775.118;1;
200;DENUNCIA;1RA. COM. LOS ANGELES;20-03-2022;DOMINGO;4:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1068-BAQUEDANO  Los Angeles  Biobio  Chile;;-37.4750956;-72.3638997;733104.018;5849157.747;2;
201;DENUNCIA;TENENCIA CENTENARIO;20-03-2022;DOMINGO;20:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1826-RAMIRO SEGURA  Los Angeles  Biobio  Chile;;-37.4541422;-72.3415457;735146.7721;5851427.397;6;
202;DENUNCIA;SCOM. PAILLIHUE;20-03-2022;DOMINGO;14:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;20-LOTEO LAS RANCHAS  Los Angeles  Biobio  Chile;;-37.4629159;-72.3612251;733378.4654;5850502.734;12;
203;DETENCION;SCOM. PAILLIHUE;20-03-2022;DOMINGO;18:45;ROBO EN LUGAR NO HABITADO;PARQUE SEVILLA NORTE & PASAJE EL SALTO S/N  Los Angeles  Biobio  Chile;;-37.492359;-72.339036;735248.8842;5847180.073;4;
