n°;clasificacion;cuartel;fecha;dia;hora;delito;direccion;dir_com;latitud;longitud;este (x);norte (y);cuadrante;dir_com
26;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;26-02-2022;SABADO;14:50;ROBO DE ACCESORIOS DE VEHICULOS;EX RUTA 5 SUR KM 482  Los Ángeles  Biobio  Chile;;-37.263022;-72.356651;734404.586;5872673.895;RURAL;
27;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;26-02-2022;SABADO;18:37;ROBO DE ACCESORIOS DE VEHICULOS;661-AV. SALTO DEL LAJA  Los Ángeles  Biobio  Chile;;-37.4830789;-72.3699983;732539.872;5848286.909;RURAL;
28;DENUNCIA;1RA. COM. LOS ANGELES;26-02-2022;SABADO;10:50;ROBO DE VEHICULO MOTORIZADO;135-DR. COSSIO  Los Ángeles  Biobio  Chile;;-37.4694137;-72.3460444;734700.996;5849743.899;3;
29;DENUNCIA;1RA. COM. LOS ANGELES;27-02-2022;DOMINGO;6:00;ROBO DE VEHICULO MOTORIZADO;247-OHIGGINS  Los Ángeles  Biobio  Chile;;-37.4748331;-72.3515373;734198.219;5849156.177;1;
30;DENUNCIA;TENENCIA CENTENARIO;26-02-2022;SABADO;10:10;ROBO DE VEHICULO MOTORIZADO;2459-NEVADOS DE CHILLAN  Los Ángeles  Biobio  Chile;;-37.4468987;-72.3351945;735731.408;5852215.347;6;
31;DENUNCIA;SCOM. PAILLIHUE;22-02-2022;MARTES;6:40;ROBO DE VEHICULO MOTORIZADO;218-LOS MANZANOS  Los Ángeles  Biobio  Chile;;-37.4852454;-72.3503102;734274.21;5847997.634;4;
32;DENUNCIA;RETÉN TUCAPEL;26-02-2022;SABADO;19:30;ROBO DE VEHICULO MOTORIZADO;30-LOS CANELOS  Los Ángeles  Biobio  Chile;;-37.4690784;-72.3793859;731752.954;5849863.745;TUCAPEL;
33;DENUNCIA;1RA. COM. LOS ANGELES;21-02-2022;LUNES;4:10;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;3-RUTA A 180  Los Ángeles  Biobio  Chile;;-37.4629159;-72.3612251;733378.465;5850502.734;2;
34;DETENCION;1RA. COM. LOS ANGELES;25-02-2022;VIERNES;3:57;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;139-PATRICIO LYNCH  Los Ángeles  Biobio  Chile;;-37.4768573;-72.3489414;734421.483;5848925.08;1;
35;DENUNCIA;1RA. COM. LOS ANGELES;26-02-2022;SABADO;6:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1726-VINA DEL MAR  Los Ángeles  Biobio  Chile;;-37.4727843;-72.3753004;732102.85;5849442.422;2;
36;DENUNCIA;1RA. COM. LOS ANGELES;26-02-2022;SABADO;23:45;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;54-ARTURO PEREZ CANTO  Los Ángeles  Biobio  Chile;;-37.4742683;-72.3390657;735303.037;5849187.738;3;
37;DENUNCIA;1RA. COM. LOS ANGELES;27-02-2022;DOMINGO;6:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;290-LA BARCAROLA  Los Ángeles  Biobio  Chile;;-37.4718372;-72.3748797;732142.991;5849546.486;3;
38;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;21-02-2022;LUNES;4:30;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1465-PASAJE ISLA MOCHA  Los Ángeles  Biobio  Chile;;-37.4668588;-72.3703178;732561.917;5850087.688;7;
39;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;21-02-2022;LUNES;13:40;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;794-BOMBERO FRANCISCO RIOSECO  Los Ángeles  Biobio  Chile;;-37.4630554;-72.3586032;733609.96;5850480.748;7;
40;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;23-02-2022;MIERCOLES;16:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;PARCELA 4 LOTE 10 & SECTOR SANTA MATILDE  Los Ángeles  Biobio  Chile;;-37.5029758;-72.3240495;736540.532;5845964.29;RURAL;
41;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;24-02-2022;JUEVES;19:30;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;PARCELA SANTA CATALINA & LA MONAS/N  Los Ángeles  Biobio  Chile;;-37.5220604;-72.2328483;744541.531;5843612.993;RURAL;
42;DETENCION;SCOM. CB 1RO. R. SEPULVEDA P.;26-02-2022;SABADO;5:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;2311-PROFESOR AURELIO VALENZUELA  Los Ángeles  Biobio  Chile;;-37.4650088;-72.3832055;731427.663;5850324.758;5;
43;DENUNCIA;TENENCIA CENTENARIO;21-02-2022;LUNES;3:30;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;620-GUAYALI  Los Ángeles  Biobio  Chile;;-37.4636356;-72.3433699;734955.656;5850378.44;6;
44;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;21-02-2022;LUNES;4:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;01-RUTA Q-15  Los Ángeles  Biobio  Chile;;-37.3349574;-72.2589479;742838.761;5864444.294;RURAL;
45;DENUNCIA;TENENCIA CENTENARIO;23-02-2022;MIERCOLES;4:14;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;251-V. TRES VIENTOS  ALLIPEN NORTE  Los Ángeles  Biobio  Chile;;-37.4417849;-72.3304692;736165.579;5852771;6;
46;DENUNCIA;TENENCIA CENTENARIO;25-02-2022;VIERNES;5:15;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;112-DELFOS  Los Ángeles  Biobio  Chile;;-37.4531381;-72.3309973;736083.14;5851512.422;6;
47;DENUNCIA;SCOM. PAILLIHUE;21-02-2022;LUNES;17:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1583-CARTIER 1583  TORRE 3 DPTO. 20  Los Ángeles  Biobio  Chile;;-37.4629159;-72.3612251;733378.465;5850502.734;4;
48;DENUNCIA;1RA. COM. LOS ANGELES;23-02-2022;MIERCOLES;23:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;206-BLANCO ENCALADA  Los Ángeles  Biobio  Chile;;-37.4740899;-72.3575199;733671.407;5849253.527;1;
49;DENUNCIA;TENENCIA HUEPIL;22-02-2022;MARTES;15:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;247-PEDRO AGUIRRE CERDA  Los Ángeles  Biobio  Chile;;-37.4743458;-72.3619692;733277.092;5849236.17;TUCAPEL;
50;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;23-02-2022;MIERCOLES;7:30;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;CAMINO PARAGUAY & KM. 2  Los Ángeles  Biobio  Chile;;-37.4641735;-72.3462821;734696.366;5850326.014;RURAL;
51;DETENCION;1RA. COM. LOS ANGELES;21-02-2022;LUNES;6:50;ROBO EN LUGAR NO HABITADO;286-LIENTUR  Los Ángeles  Biobio  Chile;;-37.4651737;-72.350349;734333.496;5850225.153;1;
52;DENUNCIA;1RA. COM. LOS ANGELES;21-02-2022;LUNES;2:35;ROBO EN LUGAR NO HABITADO;295-ERCILLA  Los Ángeles  Biobio  Chile;;-37.4702362;-72.3552771;733881.79;5849675.612;1;
53;DENUNCIA;1RA. COM. LOS ANGELES;21-02-2022;LUNES;17:02;ROBO EN LUGAR NO HABITADO;454-LORD COCHRANE  Los Ángeles  Biobio  Chile;;-37.4772464;-72.3561242;733785.009;5848899.773;1;
54;DENUNCIA;1RA. COM. LOS ANGELES;22-02-2022;MARTES;5:50;ROBO EN LUGAR NO HABITADO;437-VALDIVIA  Los Ángeles  Biobio  Chile;;-37.4687695;-72.3520399;734172.699;5849830.325;1;
55;DENUNCIA;1RA. COM. LOS ANGELES;22-02-2022;MARTES;21:58;ROBO EN LUGAR NO HABITADO;373-TUCAPEL  Los Ángeles  Biobio  Chile;;-37.4659062;-72.3514502;734233.801;5850146.607;1;
56;DENUNCIA;1RA. COM. LOS ANGELES;23-02-2022;MIERCOLES;4:45;ROBO EN LUGAR NO HABITADO;327-RENGO  Los Ángeles  Biobio  Chile;;-37.4673199;-72.3512539;734246.75;5849989.235;1;
57;DENUNCIA;1RA. COM. LOS ANGELES;24-02-2022;JUEVES;4:49;ROBO EN LUGAR NO HABITADO;399-COLON  Los Ángeles  Biobio  Chile;;-37.4693048;-72.3507913;734281.468;5849767.813;1;
58;DENUNCIA;1RA. COM. LOS ANGELES;25-02-2022;VIERNES;7:30;ROBO EN LUGAR NO HABITADO;691-MENDOZA  Los Ángeles  Biobio  Chile;;-37.46528;-72.3535;734054.44;5850221.198;1;
59;DENUNCIA;1RA. COM. LOS ANGELES;25-02-2022;VIERNES;4:15;ROBO EN LUGAR NO HABITADO;486-ALMAGRO  Los Ángeles  Biobio  Chile;;-37.4681221;-72.3496777;734383.663;5849896.288;1;
60;DENUNCIA;1RA. COM. LOS ANGELES;26-02-2022;SABADO;0:27;ROBO EN LUGAR NO HABITADO;501-VILLAGRAN  Los Ángeles  Biobio  Chile;;-37.4674765;-72.3480471;734529.912;5849963.869;1;
61;DENUNCIA;1RA. COM. LOS ANGELES;26-02-2022;SABADO;6:14;ROBO EN LUGAR NO HABITADO;903-ERCILLA  Los Ángeles  Biobio  Chile;;-37.4620188;-72.3547106;733957.526;5850586.113;1;
62;DENUNCIA;1RA. COM. LOS ANGELES;26-02-2022;SABADO;4:55;ROBO EN LUGAR NO HABITADO;680-LAUTARO  Los Ángeles  Biobio  Chile;;-37.4701573;-72.3547757;733926.385;5849683.121;1;
63;DENUNCIA;1RA. COM. LOS ANGELES;27-02-2022;DOMINGO;5:34;ROBO EN LUGAR NO HABITADO;641-COLON  Los Ángeles  Biobio  Chile;;-37.4658343;-72.3503878;734328;5850151.941;1;
64;DENUNCIA;1RA. COM. LOS ANGELES;27-02-2022;DOMINGO;6:30;ROBO EN LUGAR NO HABITADO;501-ERCILLA  Los Ángeles  Biobio  Chile;;-37.4673111;-72.3549071;733923.639;5849999.299;1;
65;DENUNCIA;1RA. COM. LOS ANGELES;27-02-2022;DOMINGO;15:15;ROBO EN LUGAR NO HABITADO;607-MARCONI  Los Ángeles  Biobio  Chile;;-37.4671787;-72.3386473;735362.29;5849973.449;3;
66;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;27-02-2022;DOMINGO;17:00;ROBO EN LUGAR NO HABITADO;SECTOR PEDREGAL & CAMINO LA ISLA KM.15  Los Ángeles  Biobio  Chile;;-37.4657826;-72.3610902;733381.48;5850184.273;RURAL;
67;DETENCION;SCOM. CB 1RO. R. SEPULVEDA P.;22-02-2022;MARTES;2:37;ROBO EN LUGAR NO HABITADO;2401-AGUAS CALIENTES  Los Ángeles  Biobio  Chile;;-37.467354;-72.384481;731307.606;5850067.642;5;
68;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;25-02-2022;VIERNES;5:50;ROBO EN LUGAR NO HABITADO;AVENIDA PADRE HURTADO & ESQUINA LAS TRANCAS  Los Ángeles  Biobio  Chile;;-37.4608092;-72.3724575;732391.392;5850764.314;7;
69;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;27-02-2022;DOMINGO;18:30;ROBO EN LUGAR NO HABITADO;RUTA Q-205  CAMINO & SANTA MATILDE KM. 2 INTERIOR  Los Ángeles  Biobio  Chile;;-37.3718976;-72.2995301;739125.421;5860448.582;RURAL;
70;DETENCION;TENENCIA CENTENARIO;24-02-2022;JUEVES;7:35;ROBO EN LUGAR NO HABITADO;AVENIDA EDUARDO FREI & CALLE SANTA ELENA  Los Ángeles  Biobio  Chile;;-37.452333;-72.3468893;734679.687;5851641.505;6;
71;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;23-02-2022;MIERCOLES;7:45;ROBO EN LUGAR NO HABITADO;LAS INDUSTRIAS & KM 503  Los Ángeles  Biobio  Chile;;-37.4647752;-72.3265712;736438.044;5850209.902;7;
72;DENUNCIA;R.EL ALAMO 1A.LOS ANGELES;21-02-2022;LUNES;2:00;ROBO EN LUGAR NO HABITADO;21-RUTA Q-35  Los Ángeles  Biobio  Chile;;-37.387226;-72.1741189;750181.888;5858422.096;8;
73;DETENCION;1RA. COM. LOS ANGELES;22-02-2022;MARTES;17:28;ROBO EN LUGAR NO HABITADO;1-CAMINO SAN ANTONIO  Los Ángeles  Biobio  Chile;;-37.4738369;-72.3690981;732648.156;5849310.294;3;
74;DENUNCIA;RETÉN SANTA FE;22-02-2022;MARTES;4:30;ROBO EN LUGAR NO HABITADO;CALLE MONICA BORDEU S/N & SECTOR VIRQUENCO  Los Ángeles  Biobio  Chile;;-37.4574167;-72.4989372;721213.062;5851445.542;11;
